case_id,min,max,length,unnormal_indices
CP_00_08031419_00091,-290.0,660.0,76,
CP_00_08031452_00092,-300.0,570.0,50,
CP_00_08031921_00092,-300.0,600.0,49,
CP_00_08032206_00090,-290.0,690.0,47,
CP_00_08040643_00087,-300.0,660.0,101,
CP_00_08040657_00087,-280.0,600.0,51,
CP_00_08041115_00023,-28665.0,605.0,64,
CP_00_08041227_00150,-300.0,580.0,50,
CP_00_08041350_00088,-300.0,620.0,96,
CP_00_08041512_00092,-300.0,590.0,63,
CP_00_08041536_00088,-240.0,590.0,52,
CP_00_08051609_00093,-28665.0,650.0,49,
CP_00_08051701_00092,-300.0,610.0,49,
CP_00_08051848_00094,-305.0,605.0,49,
CP_00_08061021_00092,-28665.0,640.0,48,
CP_00_08061347_00092,-300.0,630.0,57,
CP_00_08061431_00087,-300.0,640.0,52,
CP_00_08061614_00091,-280.0,630.0,56,
CP_00_08061648_00092,-28665.0,670.0,48,
CP_00_08061720_00090,-300.0,610.0,50,
CP_00_08071139_00092,-300.0,580.0,49,
CP_00_08071234_00087,-280.0,660.0,52,
CP_00_08071313_00090,-300.0,650.0,50,
CP_00_08071319_00092,-300.0,640.0,49,
CP_00_08071415_00117,-28665.0,680.0,66,
CP_00_08071424_00088,-300.0,610.0,76,
CP_00_08071445_00088,-28665.0,665.0,52,
CP_00_08071513_00091,-290.0,610.0,74,
CP_00_08071811_00088,-210.0,680.0,62,
CP_00_08071858_00088,-305.0,620.0,153,
CP_00_08072024_00091,-305.0,595.0,135,
CP_00_08080143_00088,-300.0,660.0,53,
CP_00_08080711_00023,-215.0,630.0,61,
CP_00_08081013_00150,-300.0,590.0,87,
CP_00_08081031_00091,-300.0,590.0,138,
CP_00_08081428_00090,-300.0,620.0,49,
CP_00_08081506_00023,-300.0,660.0,77,
CP_00_08081622_00093,-300.0,570.0,61,
CP_00_08081829_00097,-300.0,630.0,52,
CP_00_08082017_00087,-205.0,620.0,116,
CP_00_08082221_00090,-205.0,610.0,47,
CP_00_08090108_00087,-260.0,630.0,52,
CP_00_08090128_00023,-270.0,830.0,64,
CP_00_08090302_00090,-300.0,600.0,50,
CP_00_08090327_00093,-300.0,550.0,71,
CP_00_08090512_00092,-300.0,600.0,113,
CP_00_08090815_00090,-300.0,610.0,62,
CP_00_08090852_00090,-205.0,615.0,47,
CP_00_08091216_00075,-245.0,605.0,51,
CP_00_08091744_00088,-300.0,600.0,53,
CP_00_08091855_00093,-210.0,585.0,49,
CP_00_08092244_00090,-265.0,665.0,116,
CP_00_08101330_00090,-235.0,645.0,47,
CP_00_08101425_00117,-28665.0,565.0,65,
CP_00_08111634_00093,-255.0,630.0,49,
CP_00_08120657_00090,-300.0,620.0,110,
CP_00_08120934_00087,-250.0,620.0,85,
CP_00_08121627_00074,-305.0,665.0,51,
CP_00_08122359_00097,-300.0,700.0,59,
CP_00_08130206_00092,-300.0,620.0,133,
CP_00_08130352_00090,-300.0,630.0,77,
CP_00_08130700_00090,-300.0,660.0,78,
CP_00_08131729_00088,-300.0,690.0,93,
CP_00_08131754_00092,-300.0,600.0,54,
CP_00_08131830_00150,-300.0,510.0,49,
CP_00_08140819_00090,-300.0,630.0,113,
CP_00_08141141_00150,-300.0,550.0,115,
CP_00_08141249_00093,-300.0,500.0,49,
CP_00_08141307_00092,-28665.0,570.0,48,
CP_00_08151458_00088,-300.0,620.0,63,
